"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 20 18:19:36 IST 2020","Fri Mar 20 18:19:36 IST 2020","14","Enaviya","Enaviya Home page","TestCases.Test1Allure","TestCases.Test1Allure","verifyIndustriesButtonIsEnabled","Verify Industries button is enabled","Verify Industries button is enabled...!"
"passed","Fri Mar 20 18:19:10 IST 2020","Fri Mar 20 18:19:21 IST 2020","11150","Enaviya","Enaviya Home page","TestCases.Test1Allure","TestCases.Test1Allure","mouseoversToServiceButton","Verify service button drop down box","Verify service button drop down box"
"passed","Fri Mar 20 18:19:36 IST 2020","Fri Mar 20 18:19:36 IST 2020","19","Enaviya","Enaviya Home page","TestCases.Test1Allure","TestCases.Test1Allure","verifyCompanyButtonIsEnabled","Verify Company button is enabled","Verify Company button is enabled...!"
"passed","Fri Mar 20 18:19:36 IST 2020","Fri Mar 20 18:19:36 IST 2020","14","Enaviya","Enaviya Home page","TestCases.Test1Allure","TestCases.Test1Allure","verifyServiceButtonIsEnabled","Verify Service button is enabled","Verify Service button is enabled...!"
"passed","Fri Mar 20 18:19:31 IST 2020","Fri Mar 20 18:19:36 IST 2020","5124","Enaviya","Enaviya Home page","TestCases.Test1Allure","TestCases.Test1Allure","verifyAuctionManagementIsDisplayed","Verify Auction Management Software is displayed","Verify Auction Management Software is displayed"
"passed","Fri Mar 20 18:19:21 IST 2020","Fri Mar 20 18:19:21 IST 2020","21","Enaviya","Enaviya Home page","TestCases.Test1Allure","TestCases.Test1Allure","enquiryButtonEnabled","Verify enquiry button is clickable","Verify enquiry button is clickable...!"
"passed","Fri Mar 20 18:19:36 IST 2020","Fri Mar 20 18:19:36 IST 2020","32","Enaviya","Enaviya Home page","TestCases.Test1Allure","TestCases.Test1Allure","verifyExpertiseButtonIsEnabled","Verify Expertise button is enabled","Verify Expertise button is enabled...!"
"passed","Fri Mar 20 18:19:10 IST 2020","Fri Mar 20 18:19:10 IST 2020","24","Enaviya","Enaviya Home page","TestCases.Test1Allure","TestCases.Test1Allure","getPageTitle","Verify Page title","Verify the page title......."
"passed","Fri Mar 20 18:19:09 IST 2020","Fri Mar 20 18:19:09 IST 2020","110","Enaviya","Enaviya Home page","TestCases.Test1Allure","TestCases.Test1Allure","logoIsPresent","Verify logo is displayed","Verify logo is presence in home page......"
"passed","Fri Mar 20 18:19:36 IST 2020","Fri Mar 20 18:19:42 IST 2020","6058","Enaviya","Enaviya Home page","TestCases.Test1Allure","TestCases.Test1Allure","verifyContactButtonIsEnabled","Verify Contact button is enabled","Verify Contact button is enabled...!"
"passed","Fri Mar 20 18:19:36 IST 2020","Fri Mar 20 18:19:36 IST 2020","20","Enaviya","Enaviya Home page","TestCases.Test1Allure","TestCases.Test1Allure","verifySolutionButtonIsEnabled","Verify Solution button is enabled","Verify Solution button is enabled...!"
"passed","Fri Mar 20 18:19:21 IST 2020","Fri Mar 20 18:19:26 IST 2020","5126","Enaviya","Enaviya Home page","TestCases.Test1Allure","TestCases.Test1Allure","verifyTravelAndExpenseIsDisplayed","Verify T&E Management Software is displayed","Verify T&E Management Software is displayed"
"passed","Fri Mar 20 18:19:26 IST 2020","Fri Mar 20 18:19:31 IST 2020","5132","Enaviya","Enaviya Home page","TestCases.Test1Allure","TestCases.Test1Allure","verifyProcurementManagementIsDisplayed","Verify Procurement Management Software is displayed","Verify ProcurementE Management Software is displayed"
"passed","Fri Mar 20 18:19:21 IST 2020","Fri Mar 20 18:19:21 IST 2020","37","Enaviya","Enaviya Home page","TestCases.Test1Allure","TestCases.Test1Allure","companyString","Verify company year","Verify company year.....!"
"passed","Fri Mar 20 18:19:36 IST 2020","Fri Mar 20 18:19:36 IST 2020","17","Enaviya","Enaviya Home page","TestCases.Test1Allure","TestCases.Test1Allure","verifyProductsButtonIsEnabled","Verify Products button is enabled","Verify Products button is enabled...!"
